,Id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,1001,999.0,4,1,2,0,2143.0,1,0,2,5,8,261,1,-1,0,3,0
1,1002,44.0,9,2,1,0,29.0,1,0,2,5,8,151,1,-1,0,3,0
2,1003,33.0,2,1,1,0,2.0,1,1,2,5,8,76,1,-1,0,3,0
3,1004,47.0,1,1,3,0,1506.0,1,0,2,5,8,92,1,-1,0,3,0
4,1005,33.0,11,2,3,0,1.0,0,0,2,5,8,198,1,-1,0,3,0
5,1006,35.0,4,1,2,0,231.0,1,0,2,5,8,139,1,-1,0,3,0
6,1007,28.0,4,2,2,0,447.0,1,1,2,5,8,217,1,-1,0,3,0
7,1011,41.0,0,0,1,0,270.0,1,0,2,5,8,222,1,-1,0,3,0
8,1012,29.0,0,2,1,0,390.0,1,0,2,5,8,137,1,-1,0,3,0
9,1013,53.0,9,1,1,0,6.0,1,0,2,5,8,517,1,-1,0,3,0
10,1014,58.0,9,1,3,0,71.0,1,0,2,5,8,71,1,-1,0,3,0
11,1015,57.0,7,1,1,0,162.0,1,0,2,5,8,174,1,-1,0,3,0
12,1016,51.0,5,1,0,0,229.0,1,0,2,5,8,353,1,-1,0,3,0
13,1017,45.0,0,2,3,0,13.0,1,0,2,5,8,98,1,-1,0,3,0
14,1018,57.0,1,1,0,0,52.0,1,0,2,5,8,38,1,-1,0,3,0
15,1019,60.0,5,1,0,0,60.0,1,0,2,5,8,219,1,-1,0,3,0
16,1020,33.0,7,1,1,0,0.0,1,0,2,5,8,54,1,-1,0,3,0
17,1021,28.0,1,1,1,0,723.0,1,1,2,5,8,262,1,-1,0,3,0
18,1022,56.0,4,1,2,0,779.0,1,0,2,5,8,164,1,-1,0,3,0
19,1023,32.0,1,2,0,0,23.0,1,1,2,5,8,160,1,-1,0,3,0
20,1024,25.0,7,1,1,0,50.0,1,0,2,5,8,342,1,-1,0,3,0
21,1025,40.0,5,1,0,0,0.0,1,1,2,5,8,181,1,-1,0,3,0
22,1026,44.0,0,1,1,0,-372.0,1,0,2,5,8,172,1,-1,0,3,0
23,1027,39.0,4,2,2,0,255.0,1,0,2,5,8,296,1,-1,0,3,0
24,1028,52.0,2,1,1,0,113.0,1,1,2,5,8,127,1,-1,0,3,0
25,1029,46.0,4,2,1,0,-246.0,1,0,2,5,8,255,2,-1,0,3,0
26,1030,36.0,9,2,1,0,265.0,1,1,2,5,8,348,1,-1,0,3,0
27,1031,57.0,9,1,1,0,839.0,0,1,2,5,8,225,1,-1,0,3,0
28,1032,49.0,4,1,2,0,378.0,1,0,2,5,8,230,1,-1,0,3,0
29,1033,60.0,0,1,1,0,39.0,1,1,2,5,8,208,1,-1,0,3,0
30,1034,59.0,1,1,1,0,0.0,1,0,2,5,8,226,1,-1,0,3,0
31,1035,51.0,4,1,2,0,10635.0,1,0,2,5,8,336,1,-1,0,3,0
32,1036,57.0,9,0,1,0,63.0,1,0,2,5,8,242,1,-1,0,3,0
33,1037,25.0,1,1,1,0,-7.0,1,0,2,5,8,365,1,-1,0,3,0
34,1038,53.0,9,1,1,0,-3.0,0,0,2,5,8,1666,1,-1,0,3,0
35,1039,36.0,0,0,1,0,506.0,1,0,2,5,8,577,1,-1,0,3,0
36,1040,37.0,0,2,1,0,0.0,1,0,2,5,8,137,1,-1,0,3,0
37,1041,44.0,7,0,1,0,2586.0,1,0,2,5,8,160,1,-1,0,3,0
38,1042,50.0,4,1,1,0,49.0,1,0,2,5,8,180,2,-1,0,3,0
